"First Name","Last Name","Organization","Title","LinkedIn","Twitter","Telegram","Discord"
"Misa","Z.","Algomint","Interim CEO","https://www.linkedin.com/in/misazhangsydney/","TBD","TBD","TBD"
"Pax","Somnius","Algoneer","Team","TBD","https://twitter.com/PSomnius","TBD","TBD"
"Andrzej","Pierścionek","AlgoNode","SRE","https://www.linkedin.com/in/andrzej-pier%C5%9Bcionek-0376157b/","TBD","TBD","TBD"
"Paweł","Pierścionek","AlgoNode","Architect","https://www.linkedin.com/in/urtho/","TBD","TBD","TBD"
"Krzysztof","Polechańczuk","AlgoNode","SRE","https://www.linkedin.com/in/krzysztof-polecha%C5%84czuk-53994963/","TBD","TBD","TBD"
"Cathal","Gallagher","Algorand Casino","CEO & Founder","https://www.linkedin.com/in/cathal-gallagher/","TBD","TBD","TBD"
"Scott","Novell","AlgoStake","CEO/Dev/Product","https://www.linkedin.com/in/scottnovell/","TBD","TBD","TBD"
"Samir","Bandali","Alty","CBDO","https://www.linkedin.com/in/samirjafferbandali/","TBD","TBD","TBD"
"Marsiya","Issah","Alty","Production Operations Exec.","https://www.linkedin.com/in/marsiya-issah/","TBD","TBD","TBD"
"Myroslava","Klymenko","Alty","Product Delivery Manager","https://www.linkedin.com/in/mira-klimenko/","TBD","TBD","TBD"
"Patrick","Moufarrige","Alty","Chief Operating Officer","https://www.linkedin.com/in/patrickmoufarrige/","TBD","TBD","TBD"
"Liran","Peretz","Alty","CEO","https://www.linkedin.com/in/liranp1/","TBD","TBD","TBD"
"Roy","Ramnarine","Alty","Account Manager","https://www.linkedin.com/in/roydoobayramnarine/","TBD","TBD","TBD"
"Shakib","Small","Alty","Developer","https://www.linkedin.com/in/shakib-small-0b0290187/","TBD","TBD","TBD"
"Carlo","Arrigoni","ANote Music","Growth Advisor","https://www.linkedin.com/in/carloarrigoni/","TBD","TBD","TBD"
"Marco","Borgato","ANote Music","External Product & Marketing Advisor","https://www.linkedin.com/in/marco-borgato-3139337b/","TBD","TBD","TBD"
"Elia","Cardelli","ANote Music","Lead Product Developer & Designer","https://www.linkedin.com/in/elia-cardelli-64923b85/","TBD","TBD","TBD"
"Matteo","Cernuschi","ANote Music","COO & Co-Founder","https://www.linkedin.com/in/matteo-cernuschi/","TBD","TBD","TBD"
"Irene","Ciuci","ANote Music","Digital Marketing Strategist","https://www.linkedin.com/in/ireneciuci/","TBD","TBD","TBD"
"Jose","Domingo","ANote Music","Spanish Outreach Partner","https://www.linkedin.com/in/josejuandomingo/","TBD","TBD","TBD"
"Giulio","Fasano","ANote Music","Italian Outreach Partner","https://www.linkedin.com/in/giuliofasano/","TBD","TBD","TBD"
"Luigi","Felaco","ANote Music","Back-end Developer","https://www.linkedin.com/in/luigi-felaco-734884158/","TBD","TBD","TBD"
"Geoffrey","Hamerlinck","ANote Music","Community Manager","https://www.linkedin.com/in/geoffreyh90/","TBD","TBD","TBD"
"Niels","Hoorelbeke","ANote Music","Marketing & Business Development Strategist","https://www.linkedin.com/in/nielshoorelbeke/","TBD","TBD","TBD"
"Athina","Konstantinidou","ANote Music","Marketing Communications Consultant","https://www.linkedin.com/in/konstathi/","TBD","TBD","TBD"
"Virginia","La Torre","ANote Music","Product Advocate","https://www.linkedin.com/in/virginialatorre/","TBD","TBD","TBD"
"Grégoire","Mathonet","ANote Music","CTO","https://www.linkedin.com/in/gmathonet/","TBD","TBD","TBD"
"Paloma","Melguizo","ANote Music","UI/API Developer","https://www.linkedin.com/in/paloma-vinaches-melguizo","TBD","TBD","TBD"
"Nicola","Meloni","ANote Music","Business and Operations Intern","https://www.linkedin.com/in/nicola-meloni/","TBD","TBD","TBD"
"Rafael","Neira","ANote Music","Account Manager","https://www.linkedin.com/in/rafael-a-neira-6328484b/","TBD","TBD","TBD"
"Tolu","Oluwagbemi","ANote Music","Lead Product Developer & Designer","https://www.linkedin.com/in/tulburg/","TBD","TBD","TBD"
"Ludovico","Pincini","ANote Music","Head of Service Design","https://www.linkedin.com/in/ludovico-pincini/","TBD","TBD","TBD"
"Claire","Sabatier","ANote Music","Legal Counsel","https://www.linkedin.com/in/claire-sabatier-coaching/","TBD","TBD","TBD"
"Joe","Sapienza","ANote Music","Of Counsel","https://www.linkedin.com/in/joesapienza","TBD","TBD","TBD"
"Marzio","Schena","ANote Music","CEO","https://www.linkedin.com/in/marzioflavioschena/","TBD","TBD","TBD"
"Bartłomiej","Tworek","ANote Music","Member Of The Management Board","https://www.linkedin.com/in/bartlomiej-tworek/","TBD","TBD","TBD"
"Piotr","Wasaty","ANote Music","Strategic Advisor","https://www.linkedin.com/in/piotr-j-wasaty-b0a587","TBD","TBD","TBD"
"Ivica","Paleka","ASA Stats","Core Developer & Website Administrator","TBD","TBD","TBD","TBD"
"Chad","Oda","BirdBot","Advisor","https://www.linkedin.com/in/chadoda/","TBD","TBD","TBD"
"Tyler","Odenthal ","BirdBot","Founder","https://www.linkedin.com/in/tyler-odenthal/","TBD","TBD","TBD"
"Andrew","Schulz","BirdBot","Executive Research Advisor","https://www.linkedin.com/in/andrewschulz1/","TBD","TBD","TBD"
"Thomas","Arul","Bleumi, Inc.","CEO & Co-founder","https://www.linkedin.com/in/thomasarul/","TBD","TBD","TBD"
"Ahobilesan","Gurumurthy","Bleumi, Inc.","Software Engineer","https://www.linkedin.com/in/ahobilesan/","TBD","TBD","TBD"
"Gokula","Krishnan","Bleumi, Inc.","Associate Consultant","https://www.linkedin.com/in/gokulakrishnan-sethuraja/","TBD","TBD","TBD"
"Gopinath","R","Bleumi, Inc.","Business Analyst","https://www.linkedin.com/in/gopinath-r-2a311b40/","TBD","TBD","TBD"
"Gopinath","Rajasekaran","Bleumi, Inc.","Marketing Consultant","https://www.linkedin.com/in/550b64169/","TBD","TBD","TBD"
"Balaji","Saravanapavan","Bleumi, Inc.","Marketing Consultant","https://www.linkedin.com/in/balaji-saravanapavan-91a067162/","TBD","TBD","TBD"
"John","Susai","Bleumi, Inc.","COO & Co-Founder","https://www.linkedin.com/in/johnmelvinsusai/","TBD","TBD","TBD"
"Bharani","Velu","Bleumi, Inc.","Front-end Developer","https://www.linkedin.com/in/bharani-velu-a187971a0","TBD","TBD","TBD"
"Matthew","Sullivan","Bleumi, Inc. + QuantmRE","Founder, CEO + Founder, CEO","https://www.linkedin.com/in/mattsullivanco/","TBD","TBD","TBD"
"Stefan","Hechenberger","Blockshake","TBD","TBD","TBD","TBD","TBD"
"Otto","Kreidl","Blockshake","CEO","https://www.linkedin.com/in/otto-kreidl-962841148/","TBD","TBD","TBD"
"Hannes","Mitterer","Blockshake","Co-Founder","https://www.linkedin.com/in/hannes-mitterer-656722211/","TBD","TBD","TBD"
"Kevin","Wellenzohn","Blockshake","TBD","TBD","TBD","TBD","TBD"
"Eldar","Mezbur","Blockshake + TxnLab Inc.","Advisor + Senior Advisor","https://www.linkedin.com/in/eldar-mezbur/","TBD","TBD","TBD"
"Ernest","Agyemang","Buying.com","Business Development Manager","https://www.linkedin.com/in/ernest-agyemang-570269175/","TBD","TBD","TBD"
"Joseph","Baird","Buying.com","Sales Representative","https://www.linkedin.com/in/joseph-baird-8a53a6104/","TBD","TBD","TBD"
"H.S.","Bourgi","Buying.com","Senior Advisor","https://www.linkedin.com/in/bourgi87/","TBD","TBD","TBD"
"Brandon","Champ","Buying.com","Marketing Specialist","https://www.linkedin.com/in/brandon-champ-374481106/","TBD","TBD","TBD"
"Phuong","Do","Buying.com","Blockchain Architect","https://www.linkedin.com/in/netobjex-phuongdv/","TBD","TBD","TBD"
"Dali","Durdevic","Buying.com","Head of Sales and Marketing ","https://www.linkedin.com/in/dali-durdevic-a5275556/","TBD","TBD","TBD"
"Edward","Elkins","Buying.com","Sales Representative","https://www.linkedin.com/in/edward-elkins-95b15322a/","TBD","TBD","TBD"
"Jeanmarie","Gabriel","Buying.com","Founder","https://www.linkedin.com/in/jeanmarie-gabriel-b34295103/","TBD","TBD","TBD"
"Favio","Jasso","Buying.com","Administrative Assistant","https://www.linkedin.com/in/faviojasso/","TBD","TBD","TBD"
"Utkarsh","Khare","Buying.com","CTO","https://www.linkedin.com/in/utkarshkhare/","TBD","TBD","TBD"
"Joel","Layne","Buying.com","Sales Specialist","https://www.linkedin.com/in/joel-layne-8588b11a2/","TBD","TBD","TBD"
"Patrick","Mackewicz","Buying.com","Sales Representative","https://www.linkedin.com/in/pm33/","TBD","TBD","TBD"
"Drew","Mailen","Buying.com","Marketing Advisor","https://www.linkedin.com/in/drewmailen/","TBD","TBD","TBD"
"Jeff","Nicol","Buying.com","Sales and Marketing Specialist","https://www.linkedin.com/in/jeff-nicol-6a937845/","TBD","TBD","TBD"
"Joseph","Riviello","Buying.com","COO","https://www.linkedin.com/in/zendesignfirm/","TBD","TBD","TBD"
"Vince","Tullo","Buying.com","Senior Advisor","https://www.linkedin.com/in/vincetullo/","TBD","TBD","TBD"
"Michael","Zimmerman","Buying.com","Sales And Marketing Consultant","https://www.linkedin.com/in/michaeljohnzimmerman/","TBD","TBD","TBD"
"Mihir","C.","Centre","Director, Alliance Development","https://www.linkedin.com/in/mihirchokshi/","TBD","TBD","TBD"
"Juan","Caballero","Centre","Standards Coordinator","https://www.linkedin.com/in/juan-caballero/","TBD","TBD","TBD"
"Mark","duBose","Centre","Chief Risk and Compliance Officer","https://www.linkedin.com/in/mark-dubose/","TBD","TBD","TBD"
"Kim","Duffy","Centre","Director of Identity and Standards","https://www.linkedin.com/in/kimdhamilton/","TBD","TBD","TBD"
"Jessica","Gardner","Centre","Business Operations Manager","https://www.linkedin.com/in/jgardner1/","TBD","TBD","TBD"
"Jeff","Handler","Centre","Solutions Architect","https://www.linkedin.com/in/jeffreyhandler/","TBD","TBD","TBD"
"Danielle","Harold","Centre","COO","https://www.linkedin.com/in/danielleharold/","TBD","TBD","TBD"
"Shannon","Hughes","Centre","Head Of Business Development","https://www.linkedin.com/in/shannonappleby/","TBD","TBD","TBD"
"Kevin","Mills","Centre","Graduate Project Manager","https://www.linkedin.com/in/kfmills/","TBD","TBD","TBD"
"David","Puth","Centre","CEO","https://www.linkedin.com/in/david-puth/","TBD","TBD","TBD"
"John","Shipman","Centre","Chief Commercial Officer","https://www.linkedin.com/in/john-shipman-196a93/","TBD","TBD","TBD"
"Cathal","Gallagher","Chips","Founder","https://www.linkedin.com/in/Cathal-Gallagher/","TBD","TBD","TBD"
"Brian","Haney","Choice Coin","Co-Founder","TBD","TBD","TBD","TBD"
"Matty","Blanchard","Cosmic Champs","Co-founder","https://www.linkedin.com/in/mattyblanchard/","TBD","TBD","TBD"
"Victor","Aderibigbe","DeCHO","Backend Engineer","https://www.linkedin.com/in/victor-aderibigbe-ad/","TBD","TBD","TBD"
"Joshua","Agbomeikhe","DeCHO","CEO & Founder","https://www.linkedin.com/in/joshua-agbomeikhe-b41114193/","TBD","TBD","TBD"
"Obafunmilayo","Lijadu","DeCHO","Technical Project Manager","https://www.linkedin.com/in/obafunmilayo-lijadu/","TBD","TBD","TBD"
"Eldar","Mezbur","Defly","Advisor","https://www.linkedin.com/in/eldar-mezbur/","TBD","TBD","TBD"
"Carla","Brown","Dequency","Community Manager","https://www.linkedin.com/in/carla-brown-935a341a3/","TBD","TBD","TBD"
"Keatly","Haldeman","Dequency","CEO","https://www.linkedin.com/in/keatly-haldeman-7b55803/","TBD","TBD","TBD"
"Liam","Hathaway","Dequency","Operations","https://www.linkedin.com/in/liam-hathaway-72b510b5/","TBD","TBD","TBD"
"Margaret","Link","Dequency","Vice President Operations","https://www.linkedin.com/in/margaretlink/","TBD","TBD","TBD"
"Bodrul","A.","Ferrum Network","Community Manager","https://www.linkedin.com/in/bodrul-a-3b639b179/","TBD","TBD","TBD"
"Taha","Abbasi","Ferrum Network","CSO","https://www.linkedin.com/in/tahaabbasi/","TBD","TBD","TBD"
"Hamed","Ahmadi","Ferrum Network","Advisor","https://www.linkedin.com/in/hamedahmadi1/","TBD","TBD","TBD"
"Peter","Anh","Ferrum Network","Community Manager","https://www.linkedin.com/in/peteranh910/","TBD","TBD","TBD"
"Maryam","Arif","Ferrum Network","Software Engineer","https://www.linkedin.com/in/maryam-arif-1317511b0/","TBD","TBD","TBD"
"Morteza","Eghbalian","Ferrum Network","Head of European Operations","https://www.linkedin.com/in/morteza-eghbalian-a12095191/","TBD","TBD","TBD"
"Emeka","Enu","Ferrum Network","Strategic Advisor","https://www.linkedin.com/in/emeka-enu-mba-a29b37b/","TBD","TBD","TBD"
"Ian","Friend","Ferrum Network","Co-Founder and COO","https://www.linkedin.com/in/ian-friend-bb949657/","TBD","TBD","TBD"
"Sole","Gospel","Ferrum Network","Marketing Specialist","https://www.linkedin.com/in/sole-gospel-a2136b210/","TBD","TBD","TBD"
"Salman","Haider","Ferrum Network","Senior Blockchain Architect","https://www.linkedin.com/in/raviansalman/","TBD","TBD","TBD"
"James","Hermann","Ferrum Network","Tech Support & IT","https://www.linkedin.com/in/james-hermann-956972205/","TBD","TBD","TBD"
"Germaine","Ifudu.","Ferrum Network","Advisor","https://www.linkedin.com/in/germaine-ifudu-pmp-55958351/","TBD","TBD","TBD"
"Ibraheem","kabir","Ferrum Network","Software Engineer","https://www.linkedin.com/in/ibraheem-kabir-3ba663129/","TBD","TBD","TBD"
"Asad","Khalid","Ferrum Network","Financial Controller & Accountant","https://www.linkedin.com/in/asad-khalid-985873a9/","TBD","TBD","TBD"
"Nathan","Korus","Ferrum Network","FAS Incubation Advisor","https://www.linkedin.com/in/nkorus/","TBD","TBD","TBD"
"Joel","Kovshoff","Ferrum Network","Advisor","https://www.linkedin.com/in/coachkcrypto/","TBD","TBD","TBD"
"Samuel","L.","Ferrum Network","Research Analyst","https://www.linkedin.com/in/samuel-l-8b6b29168/","TBD","TBD","TBD"
"Jun","Lee","Ferrum Network","Marketing Project Coordinator","https://www.linkedin.com/in/sinori/","TBD","TBD","TBD"
"Nichell","Logue","Ferrum Network","Executive Vice President of OPS","https://www.linkedin.com/in/nichelllogue/","TBD","TBD","TBD"
"Hasnat","Malik","Ferrum Network","Director of Projects","https://www.linkedin.com/in/hasnat-malik/","TBD","TBD","TBD"
"John","Mangune","Ferrum Network","Philippine Ambassador","https://www.linkedin.com/in/john-michael-mangune-6300651a7","TBD","TBD","TBD"
"Dur","Najaf","Ferrum Network","Technical Project Coordinator","https://www.linkedin.com/in/dur-e-najaf-4a67861b0/","TBD","TBD","TBD"
"Nick","Odio","Ferrum Network","Executive VP of Strategic Partnerships & Growth","https://www.linkedin.com/in/nick-odio-176991161/","TBD","TBD","TBD"
"Pokey","Rule","Ferrum Network","Assisting the Engineering Team","https://www.linkedin.com/in/pokey-rule-551130a4/","TBD","TBD","TBD"
"Syed","Safkath Kadir Dhihan","Ferrum Network","Marketing Specialist","https://www.linkedin.com/in/safkath-dhihan/","TBD","TBD","TBD"
"Lance","Seah","Ferrum Network","Presale Project Coordinator","https://www.linkedin.com/in/lance-seah/","TBD","TBD","TBD"
"Ryan","Sweet","Ferrum Network","NFT Consultant","https://www.linkedin.com/in/ryan-sweet-b01514142/","TBD","TBD","TBD"
"Alishba","Tayyab","Ferrum Network","Human Resources Generalist","https://www.linkedin.com/in/alishba-tayyab/","TBD","TBD","TBD"
"Anthony","Trisvane","Ferrum Network","Community Manager","https://www.linkedin.com/in/anthony-trisvane-b0229b211/","TBD","TBD","TBD"
"Naiem","Yeganeh","Ferrum Network","Co-Founder and CEO","https://www.linkedin.com/in/naiem-yeganeh-12874712/","TBD","TBD","TBD"
"John","York","Ferrum Network","Blockchain Solutions Specialist","https://www.linkedin.com/in/johnyork1/","TBD","TBD","TBD"
"Volkan","YÜCEL","Ferrum Network","Community Manager","https://www.linkedin.com/in/volkan-y%C3%BCcel-416623164/","TBD","TBD","TBD"
"bubbalex",,"Ferrum Network","Global Brand Ambassador","https://www.linkedin.com/in/bubbalex/","TBD","TBD","TBD"
"Kurt",,"Ferrum Network","Product and Service Consultant","https://www.linkedin.com/in/kurt-ferrum-network-product-and-service-team-963052210/","TBD","TBD","TBD"
"Benedetto","Biondi","Folks.Finance","CEO","https://www.linkedin.com/in/benedetto-biondi-030248199/","TBD","TBD","TBD"
"James","Ward ","Fracctal Labs","Full Stack Software Developer","https://www.linkedin.com/in/jamesdaltonward/","TBD","TBD","TBD"
"David","McCabe","GARD","Blockchain Development Lead","https://www.linkedin.com/in/david-p-mccabe/","TBD","TBD","TBD"
"Rylie","Rueda","GARD","Founder & CEO","https://www.linkedin.com/in/rylierueda/","TBD","TBD","TBD"
"Ryan","Soscia","GARD","Co-Founder & COO","https://www.linkedin.com/in/ryanmsoscia/","TBD","TBD","TBD"
"Titus","Adenugba","Glitter Finance","Product Manager & Head of Tokenomics","https://www.linkedin.com/in/titusadenugba/","TBD","TBD","TBD"
"Gelena","Dobrovitsky","Glitter Finance","CSO","https://www.linkedin.com/in/gelena-dobrovitsky/","TBD","TBD","TBD"
"David","Dobrovitsky","Glitter Finance","Founder and CEO","https://www.linkedin.com/in/ilya-dobrovitsky/","TBD","TBD","TBD"
"Khalid","Hassan","Glitter Finance","COO","https://www.linkedin.com/in/khalid-mamoun-ibrahim-hassan-1a8b611/","TBD","TBD","TBD"
"João","Loureiro","Glitter Finance","Executive Assistant","https://www.linkedin.com/in/jo%C3%A3o-bernardo-loureiro/","TBD","TBD","TBD"
"Farhad","Shabani","Glitter Finance","Software Engineer","https://www.linkedin.com/in/farhad-shabani/","TBD","TBD","TBD"
"Pradyumn","Singh","Glitter Finance","Marketing Manager","https://www.linkedin.com/in/pradyumn-singh-15020812a/","TBD","TBD","TBD"
"Inês","Veiga","Glitter Finance","Management Director","https://www.linkedin.com/in/in%C3%AAs-veiga-570091157/","TBD","TBD","TBD"
"Kyle","Burgh","HEADLINE","Marketing Intern","https://www.linkedin.com/in/kyleburgh/","TBD","TBD","TBD"
"Aaron","Martinez","HEADLINE","CEO","https://www.linkedin.com/in/ussaaron/","TBD","TBD","TBD"
"Brian","Scherlen","HEADLINE","Senior Project Manager","https://www.linkedin.com/in/brian-scherlen-2091b0209/","TBD","TBD","TBD"
"Ethan","Welch","HEADLINE","CFO ","https://www.linkedin.com/in/ethan-welch-1762ba226/","TBD","TBD","TBD"
"Marlon","Bevaun","Hivemind","Director of Finance","https://www.linkedin.com/in/marlinb/","TBD","TBD","TBD"
"Jake","Greenstein","Hivemind","Partner, Head of Infrastructure","https://www.linkedin.com/in/jake-greenstein-29479630/","TBD","TBD","TBD"
"Sam","Peurifoy","Hivemind","Partner, Head of Interactive","https://www.linkedin.com/in/sampeurifoy/","TBD","TBD","TBD"
"Joanna","Polito","Hivemind","Executive Assistant","https://www.linkedin.com/in/joannapolito/","TBD","TBD","TBD"
"Lee","Smallwood","Hivemind","Managing Partner and COO","https://www.linkedin.com/in/lee-smallwood/","TBD","TBD","TBD"
"Matt","Zhang","Hivemind","Founder and Managing Partner","https://www.linkedin.com/in/mattzhang/","TBD","TBD","TBD"
"Odai","Ammar","Lofty AI","Head Of Real Estate","https://www.linkedin.com/in/odai-ammar/","TBD","TBD","TBD"
"Max","Ball ","Lofty AI","Co-Founder","https://www.linkedin.com/in/maxball/","TBD","TBD","TBD"
"Roland","Chow","Lofty AI","Advisor and Investor","https://www.linkedin.com/in/rolandchow/","TBD","TBD","TBD"
"Jerry","Chu","Lofty AI","CEO & Co-Founder","https://www.linkedin.com/in/jerry-chu/","TBD","TBD","TBD"
"Patrick","Costello","Lofty AI","CPO","https://www.linkedin.com/in/costellopj/","TBD","TBD","TBD"
"Michael","Jin","Lofty AI","CTO","https://www.linkedin.com/in/jinmichael/","TBD","TBD","TBD"
"Mark","K.","Lofty AI","Chief Data Scientist","https://www.linkedin.com/in/mark-k-a6856018b/","TBD","TBD","TBD"
"Marlon","Karim","Lofty AI","Senior Software Engineer & UI/UX designer","https://www.linkedin.com/in/markhkr/","TBD","TBD","TBD"
"Kathie","N.","Lofty AI","Operations Associate","https://www.linkedin.com/in/kathiebn/","TBD","TBD","TBD"
"Taimur","Sajid","Lofty AI","Chief Investment Officer","https://www.linkedin.com/in/tsajid/","TBD","TBD","TBD"
"Ashley","Sawdaye","Lofty AI","EVP, Strategy and Operations","https://www.linkedin.com/in/ashleysawdaye/","TBD","TBD","TBD"
"Patrick","Sears","Lofty AI","Vice President Of Engineering","https://www.linkedin.com/in/engineerapart/","TBD","TBD","TBD"
"Casey","Thomaston","Lofty AI","Operations Associate","https://www.linkedin.com/in/caseythomaston/","TBD","TBD","TBD"
"Antonio","Tralice","Lofty AI","Senior Software Engineer","https://www.linkedin.com/in/antoniotralice/","TBD","TBD","TBD"
"Allen","Vaisman","Lofty AI","Senior Software Engineer","https://www.linkedin.com/in/allenvaisman/","TBD","TBD","TBD"
"A","TayebNama","Marli Technology Solution","Founder / CEO","https://www.linkedin.com/in/a-tayebnama-94667553/","TBD","TBD","TBD"
"Ambrose","Hill","Meadow Labs","Senior Software Engineer","https://www.linkedin.com/in/ambrose-hill","TBD","TBD","TBD"
"Martin","Kelly","Meadow Labs","Co-Founder & CEO","https://www.linkedin.com/in/mkaus/","TBD","TBD","TBD"
"Mariella","Mejia","Meadow Labs","Chief Marketing Officer","https://www.linkedin.com/in/mariellamejia","TBD","TBD","TBD"
"Sarah","O'Leary","Meadow Labs","Product Manager","https://www.linkedin.com/in/sarah-may-o-leary/","TBD","TBD","TBD"
"Chris","Smith","Meadow Labs","COO - Head of Transformation","https://www.linkedin.com/in/chris-smith-buytasker/","TBD","TBD","TBD"
"Jessy","Cameron","Meadow Labs + Meld Ventures","Advisor + Chief Customer Experience Officer","https://www.linkedin.com/in/jessy-cameron-b4a3a318/","TBD","TBD","TBD"
"Mouhcine","Benchekroun","Meld Ventures","Blockchain and smart contracts developer","https://www.linkedin.com/in/mouhcinebenchekroun/","TBD","TBD","TBD"
"Giancarlo","Cudrig","Meld Ventures","Head of Capital Markets","https://www.linkedin.com/in/giancarlo-cudrig-53064248/","TBD","TBD","TBD"
"Amit","Deshmukh","Meld Ventures","Group CTO","https://www.linkedin.com/in/amitdeshmukh/","TBD","TBD","TBD"
"Sara Jane","Kenny","Meld Ventures","Recruitment Researcher","https://www.linkedin.com/in/sara-jane-kenny-82a50a1ba/","TBD","TBD","TBD"
"Rein","N.","Meld Ventures","Technical Recruiter","https://www.linkedin.com/in/rein-n-655058221/","TBD","TBD","TBD"
"Dustine","Pang","Meld Ventures","Partner","https://www.linkedin.com/in/dustinepang/","TBD","TBD","TBD"
"Paul","Williams","Meld Ventures","Global Head of Talent Acquisition ","https://www.linkedin.com/in/pw11/","TBD","TBD","TBD"
"George","Cotsikis","Mentat Innovations","CEO","https://www.linkedin.com/in/gcotsikis/","TBD","TBD","TBD"
"Benedict","Dixon","Nettle","CPO, Co-Founder","https://www.linkedin.com/in/benedict-dixon/","TBD","TBD","TBD"
"Afzaal","Mauthoor","Nettle","COO","https://www.linkedin.com/in/afzaalm/","TBD","TBD","TBD"
"Ricky","Mehta","Nettle","Founder, CEO","https://www.linkedin.com/in/ricky-mehta/","TBD","TBD","TBD"
"Kieran","O'Neill","Nettle","Senior Software Engineer & Solutions Architect","https://www.linkedin.com/in/kieranroneill/","TBD","TBD","TBD"
"Nimesh","Amin","Notifi","Founder and CTO","https://www.linkedin.com/in/nimeshamin-seattle/","TBD","TBD","TBD"
"Samantha","Broccoli","Notifi","Head of Product and Design","https://www.linkedin.com/in/samantha-broccoli/","TBD","TBD","TBD"
"Nathan","Chung","Notifi","Software Engineer","https://www.linkedin.com/in/hellonathanchung/","TBD","TBD","TBD"
"Alessio","Galdy","Notifi","Software Developer","https://www.linkedin.com/in/alessio-galdy-54601146/","TBD","TBD","TBD"
"Jennifer","Jennifer","Notifi","Software Engineer","https://www.linkedin.com/in/jennifertranlogistics/","TBD","TBD","TBD"
"Hyungjoon","Kim ","Notifi","Software Engineer","https://www.linkedin.com/in/hyungjoon-kim-a69b0573/","TBD","TBD","TBD"
"Paul","Kim ","Notifi","Founder and CEO","https://www.linkedin.com/in/1paulkim/","TBD","TBD","TBD"
"Michael","Montoya","Notifi","Board Advisor","https://www.linkedin.com/in/mikmon/","TBD","TBD","TBD"
"Hao","Wang ","Notifi","Frontend Engineer","https://www.linkedin.com/in/haowang1989/","TBD","TBD","TBD"
"Tammy","Ahn","Openfabric AI","Business Advisor","https://www.linkedin.com/in/ahn-tammy-tae-hyon-b4095120/","TBD","TBD","TBD"
"Raghu","Bala","Openfabric AI","Technical Advisor","https://www.linkedin.com/in/raghubala/","TBD","TBD","TBD"
"Adrien","Berthou","Openfabric AI","Crypto-Native & Comms","https://www.linkedin.com/in/adrienbe/","TBD","TBD","TBD"
"David","C.","Openfabric AI","Growth & Marketing","https://www.linkedin.com/in/davidpcostello/","TBD","TBD","TBD"
"Miles","Carroll","Openfabric AI","Business Advisor","https://www.linkedin.com/in/carrollmiles/","TBD","TBD","TBD"
"Ion","Ceban","Openfabric AI","Core Developer","https://www.linkedin.com/in/ionceban/","TBD","TBD","TBD"
"Ovidiu","Costea","Openfabric AI","AI/ML Engineer","https://www.linkedin.com/in/ovidiucostea/","TBD","TBD","TBD"
"Mark","Fitzgibbon","Openfabric AI","Technical Advisor","https://www.linkedin.com/in/mark-f-0b3031164/","TBD","TBD","TBD"
"Nicolae","Natea","Openfabric AI","Core Developer","https://www.linkedin.com/in/nicolae-natea-7a81a9a/","TBD","TBD","TBD"
"Florian","Stoica","Openfabric AI","Core Developer","https://www.linkedin.com/in/stoicaflorian/","TBD","TBD","TBD"
"Nicolae","Taban","Openfabric AI","Software Engineer","https://www.linkedin.com/in/nicolae-taban-08820b1a8/","TBD","TBD","TBD"
